,B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,DateTimeStamp
74,11413,10522,9712,8968,12889,9176,7551,9397,5436,26095,23670,2019/05/24
75,8978,8159,7342,6803,9423,7109,5932,7292,5025,24822,22539,2013/10/30
76,9418,8602,7844,7441,8747,8268,6989,7552,5048,21733,20466,2020/03/07
77,10727,9610,8568,7706,11017,7726,6428,8306,5034,27148,24391,2013/07/26
78,10241,9242,8501,7662,11025,8063,6333,8157,5029,26953,23923,2013/08/11
79,10620,9579,8694,7798,11152,7765,6452,8292,5041,26684,24286,2016/04/29
80,10094,9204,8467,7719,9779,7533,6424,8065,5038,25340,23351,2020/04/08
81,8535,7790,6995,6555,8453,6855,5979,6714,5040,21888,20528,2014/11/18
82,11612,10611,9636,8795,12458,9024,7185,9234,5071,27300,24488,2015/06/30
83,8968,8146,7337,6810,9477,7330,6028,7353,5022,24863,22564,2013/10/30
84,11031,9939,8986,7959,11480,7723,6291,8460,5060,26956,23964,2016/07/18
85,9352,8725,7782,7522,8653,7555,6917,7767,5282,19785,17756,2017/12/12
86,9579,8573,7679,6838,9214,6438,5704,7332,5049,26659,24197,2016/09/04
87,9625,8612,7884,7002,12970,7519,6021,7593,5017,27115,24526,2018/09/26
88,10615,9582,8491,7764,9070,8297,6617,8226,5029,26863,24037,2019/09/13
89,10767,9711,8638,7907,10891,8843,7139,8375,5274,27339,24499,2018/06/06
90,10761,9703,8825,7954,11431,8132,6632,8448,5025,27097,24527,2014/07/29
91,11345,10285,9207,8323,10724,7468,6323,8905,5032,27010,24270,2017/08/06
92,10285,9402,8560,8147,8578,8961,8174,8188,5060,22697,20962,2017/02/27
93,9669,8777,7986,7505,8671,7782,6527,7812,5035,25355,23452,2016/03/28
94,8345,7617,6808,6438,7088,6426,5873,6600,5002,19734,18764,2016/01/24
95,8756,7910,7131,6625,9506,6650,5815,6862,5032,24460,22480,2016/10/22
96,9038,8292,7575,7416,7934,6599,5959,7505,5025,22175,20768,2016/02/25
97,11678,10764,9885,9334,13051,9766,8105,9538,5046,27883,25203,2017/06/03
98,10033,8992,8024,7298,10751,7157,5958,7672,5016,26789,23752,2018/08/09
99,8894,8046,7071,6624,7922,7424,6354,6876,5028,24233,22432,2015/10/20
100,10178,9114,8018,7248,10087,7482,6047,7675,5030,26580,23986,2018/08/25
101,10301,9271,8413,7674,9867,9041,7182,8154,5033,26536,24105,2019/05/08
102,10830,9899,9047,8440,10256,9649,7843,8833,5399,24729,22409,2017/04/16
103,10895,10221,9175,8905,9189,7242,6964,9093,5842,17404,16641,2015/01/05
104,10856,10008,9277,8738,10258,8931,7561,9156,5032,24963,23156,2018/04/19
105,11324,10289,9191,8356,9813,8479,6948,8937,5278,25853,22938,2015/08/17
106,11378,10501,9695,8938,13215,9364,7597,9402,5435,26125,23685,2019/05/24
107,10255,9266,8497,7676,10734,7747,6219,8160,5033,26929,23913,2013/08/11
108,9738,8734,7617,6947,7748,6801,5870,7305,5040,26810,24127,2017/09/23
109,11615,10892,9978,9659,10695,7927,7375,9851,6175,16762,16329,2016/11/23
110,11167,10221,9342,8603,11982,8712,6988,8930,5022,26961,23822,2017/07/05
111,18636,18219,17096,17468,18293,14342,11646,17172,5059,17410,17051,2019/12/18
112,11566,10676,9777,9158,13537,10102,8184,9463,5041,27940,25234,2017/06/03
113,9438,8582,7967,7261,11905,7599,6202,7770,5043,25891,23525,2013/09/28
114,8931,8052,7170,6583,9110,6725,5748,6947,5019,24790,22950,2020/10/17
115,11152,10217,9338,8582,12098,8931,7069,8937,5023,26983,23833,2017/07/05
116,10659,9753,8977,8368,11237,9374,7333,8769,5078,27889,24894,2019/06/25
117,11329,10274,9194,8299,10946,7755,6408,8872,5031,27033,24271,2017/08/06
118,9684,8622,7677,6852,9334,6480,5602,7317,5028,26337,23605,2018/09/10
119,10653,9698,8845,8068,12365,8967,7089,8369,5037,27187,24319,2015/05/29
120,9313,8367,7393,6970,6963,6193,5793,7099,5049,24541,22673,2016/03/12
121,10224,9369,8487,8049,8490,8853,8092,8106,5058,22726,20982,2017/02/27
122,11164,10169,9079,8347,10166,8800,7045,8872,5116,27419,24581,2019/08/12
123,10737,9626,8580,7716,11088,7814,6448,8311,5033,27136,24387,2013/07/26
124,8451,7805,7028,6694,7989,7610,6577,6835,5065,19458,18409,2017/12/28
125,11711,10730,9933,9348,12690,10104,8079,9652,5034,27484,24417,2015/06/14
126,13247,12295,11114,10462,13533,9322,7903,10865,6239,22217,19878,2018/06/22
127,10907,10251,9146,8894,9171,7212,6943,9083,5826,17433,16643,2015/01/05
128,10836,9900,9027,8440,10005,9368,7644,8787,5396,24695,22384,2017/04/16
129,10157,9206,8438,7827,9784,8241,7018,8143,5029,23938,22080,2013/04/07
130,11300,10346,9319,8588,9699,8380,7584,8940,5190,24193,21032,2013/09/12
131,26833,26489,25957,27098,28940,23798,18325,24950,5071,23855,22219,2018/04/03
132,8815,8001,7146,6641,8936,6969,6020,6904,5025,22002,20522,2014/11/02
133,9186,8468,7650,7268,8215,7909,6759,7503,5283,21674,20186,2020/02/04
134,10621,9560,8664,7678,12045,7798,6043,8281,5045,26684,23827,2020/08/30
135,9042,8295,7576,7420,7944,6374,5861,7485,5024,22167,20762,2016/02/25
136,11817,11049,10008,9060,12124,8154,6629,9729,5528,23767,21390,2020/09/15
137,8390,7712,6861,6563,7098,6824,6229,6709,5030,20219,19117,2014/01/18
138,8721,7912,7046,6576,8388,7014,6051,6860,5025,23560,21829,2017/11/10
139,10867,10023,9287,8770,9995,8689,7422,9130,5033,24922,23138,2018/04/19
140,10910,9880,8860,7986,10445,9217,7259,8389,5038,26713,24071,2014/05/26
141,12261,11335,10446,9691,12068,8877,7813,10176,6020,20247,18732,2020/05/10
142,9302,8569,7760,7441,7810,7422,6684,7581,5637,20187,18921,2017/02/11
143,11062,9952,8985,7958,11726,7548,6244,8480,5060,26946,23959,2016/07/18
144,8528,7815,7040,6692,7910,8133,6770,6986,5031,21526,20296,2019/02/01
145,8804,7992,7130,6621,9248,7101,6075,6902,5022,22004,20532,2014/11/02
146,10888,9846,8910,8033,10814,9457,7432,8495,5040,26756,24092,2014/05/26
147,10089,9137,8267,7625,9205,8378,6752,8033,5046,26188,23445,2019/08/28
148,10474,9406,8302,7486,10287,6992,5991,8066,5032,26945,24028,2014/08/30
149,11353,10415,9344,8630,9689,8382,7604,9047,5190,24197,21046,2013/09/12
150,10473,9436,8541,7557,10238,7509,6076,8141,5068,25826,22849,2016/08/19
151,10858,9859,8995,8314,11052,8015,6774,8539,5062,27364,24453,2017/07/21
152,10775,9746,8723,7856,11169,7662,6353,8397,5034,27228,24308,2016/07/02
153,12680,11725,10385,9689,11104,8370,7413,10207,6262,20598,19007,2017/09/07
154,11596,10593,9624,8771,12590,8887,7149,9234,5070,27264,24477,2015/06/30
155,11788,10912,10166,9316,13751,9890,7767,9588,5182,26095,23330,2014/06/11
156,16405,15604,14414,13977,16354,15269,14149,14530,5050,24736,22335,2020/06/27
157,13719,12893,11857,11208,13018,11891,10731,11694,5071,25528,22868,2015/07/16
158,10313,9282,8372,7655,9450,8881,7098,8081,5030,26499,24094,2019/05/08
