,B1_sr,B2_sr,B3_sr,B4_sr,B5_sr,B6_sr,B7_sr,B10_sr,B11_sr,DateTimeStamp
173,246,286,408,369,942,921,556,2912,2895,2015/04/27
174,1191,1238,1328,1267,1707,1572,1357,2931,2898,2015/07/16
175,4852,4980,4722,4600,4738,2363,2423,2412,2435,2019/10/15
176,306,377,539,506,1241,839,457,2946,2908,2017/06/19
177,325,357,506,465,1197,717,398,2948,2915,2017/08/22
178,287,337,457,434,1162,778,448,2974,2945,2018/06/06
179,179,213,376,310,1386,648,315,2980,2953,2013/08/27
180,393,442,645,609,1269,765,419,2964,2935,2016/06/16
181,262,295,388,393,1038,1044,588,2822,2817,2019/01/16
182,118,195,388,366,809,772,421,2947,2915,2019/08/28
183,591,714,889,733,1574,749,421,2885,2853,2020/09/15
184,264,303,466,418,1172,658,365,2947,2914,2017/08/22
185,228,296,472,421,951,880,445,2963,2932,2019/09/13
186,1418,1397,1538,1473,1850,1795,1663,2783,2753,2019/07/11
187,327,377,563,523,1355,906,511,2909,2895,2016/04/13
188,552,561,629,570,1032,514,338,2877,2853,2015/09/18
189,820,980,1014,1024,1541,1309,918,2957,2931,2013/06/08
190,408,463,673,610,1496,990,584,2962,2933,2014/05/10
191,213,278,440,373,1224,544,303,2971,2940,2016/07/02
192,284,288,367,351,1029,599,332,2880,2866,2017/11/10
193,162,239,456,349,1051,516,244,2937,2897,2016/08/19
194,6,91,322,295,858,486,342,2890,2861,2013/07/10
195,453,554,765,693,1645,1064,676,2920,2876,2013/05/23
196,236,304,513,425,1377,709,385,2960,2940,2016/04/29
197,651,711,776,799,1421,1143,874,2778,2736,2017/12/12
198,29,87,242,280,436,367,247,2906,2893,2016/03/12
199,3359,3313,3314,3283,3386,3570,3101,2807,2798,2018/03/18
200,41,135,324,324,808,866,512,2884,2872,2020/01/03
201,1363,1381,1447,1387,1784,1092,902,2724,2707,2018/05/05
202,745,756,885,848,1657,1089,692,2916,2883,2017/05/18
203,2322,2264,2246,2178,2601,1231,1134,2625,2595,2015/05/13
204,221,247,352,336,909,775,414,2865,2854,2016/12/25
205,304,384,617,586,1295,795,426,2964,2935,2016/06/16
206,253,360,549,514,1105,939,520,2977,2948,2019/08/12
207,800,823,896,918,1166,938,715,2789,2764,2015/03/26
208,3774,3739,3567,3550,3806,2723,2578,2723,2651,2020/07/13
209,302,348,483,520,765,634,386,2847,2839,2018/01/13
210,-39,67,276,275,804,861,487,2883,2872,2020/01/03
211,108,180,322,384,452,306,183,2799,2788,2016/02/09
212,6009,6088,6274,6344,6771,5579,3803,2886,2871,2020/06/11
213,312,396,588,513,959,768,462,2938,2900,2015/08/17
214,1065,1095,1177,1104,1673,1013,751,2799,2757,2014/07/13
215,4225,4218,4136,4156,4463,3405,3136,2745,2689,2013/06/24
216,5982,5973,5973,6038,6002,3264,2278,2696,2693,2017/03/31
