,B1_toa,B2_toa,B3_toa,B4_toa,B5_toa,B6_toa,B7_toa,B8_toa,B9_toa,B10_toa,B11_toa,DateTimeStamp
130,0.15522998571395874,0.13172373175621033,0.10641877353191376,0.08840716630220413,0.11578185111284256,0.08328211307525635,0.06366892904043198,0.09708033502101898,0.004681534133851528,289.6542053222656,284.214111328125,2013/09/12
131,0.5312805771827698,0.5229097604751587,0.5099641680717468,0.537729024887085,0.5825519561767578,0.45742741227149963,0.3242483139038086,0.48545998334884644,0.001727697323076427,288.783447265625,287.84716796875,2018/04/03
132,0.1207679808139801,0.09499992430210114,0.06793396174907684,0.051947638392448425,0.12459836900234222,0.062330834567546844,0.032289206981658936,0.0602731890976429,0.0007913958979770541,283.87945556640625,282.61920166015625,2014/11/02
133,0.14551733434200287,0.12055759876966476,0.09212157130241394,0.0788421630859375,0.11176259070634842,0.10112515836954117,0.061147864907979965,0.0870114341378212,0.009837882593274117,282.9869689941406,281.5566711425781,2020/02/04
134,0.13323786854743958,0.10808836668729782,0.08684995025396347,0.06347820907831192,0.16699178516864777,0.06632263958454132,0.024722838774323463,0.07777147740125656,0.0010666567832231522,295.86865234375,292.60662841796875,2020/08/30
135,0.12191010266542435,0.09937995672225952,0.07769431173801422,0.07298922538757324,0.08879350125789642,0.04144098609685898,0.02596847526729107,0.07494967430830002,0.0007238540565595031,284.3255310058594,283.3724060058594,2016/02/25
136,0.17052039504051208,0.15130965411663055,0.1252700835466385,0.10155681520700455,0.17819969356060028,0.07889413833618164,0.04074779152870178,0.11829117685556412,0.013207384385168552,288.5555725097656,285.32122802734375,2020/09/15
137,0.13340847194194794,0.10672678053379059,0.07323691993951797,0.06150956451892853,0.08256370574235916,0.07178083807229996,0.04836548492312431,0.0672551840543747,0.0011805981630459428,278.93060302734375,278.11053466796875,2014/01/18
138,0.12792930006980896,0.1001155897974968,0.07034219801425934,0.05418343469500542,0.11648064106702805,0.06924203038215637,0.036133747547864914,0.06394745409488678,0.0008595020044595003,288.0177001953125,286.665283203125,2017/11/10
139,0.13472628593444824,0.11534518003463745,0.09844411164522171,0.08657202869653702,0.11470220237970352,0.08471199870109558,0.05561736226081848,0.09483885765075684,0.0007577877258881927,291.5089416503906,290.58892822265625,2018/04/19
140,0.12752360105514526,0.10529867559671402,0.08328952640295029,0.06443070620298386,0.1174900233745575,0.09099273383617401,0.04874379187822342,0.07312647998332977,0.0008199444273486733,295.93902587890625,293.313720703125,2014/05/26
141,0.15992622077465057,0.1395307183265686,0.11995016783475876,0.10332101583480835,0.15567532181739807,0.08539236336946487,0.06195736676454544,0.11400331556797028,0.022465873509645462,279.0102233886719,276.84368896484375,2020/05/10
142,0.14583143591880798,0.12098382413387299,0.09355991333723068,0.08274628967046738,0.09525483846664429,0.0821022167801857,0.057085104286670685,0.08749207854270935,0.021593352779746056,278.8395080566406,277.46734619140625,2017/02/11
143,0.1326003223657608,0.10832015424966812,0.08716797828674316,0.06470335274934769,0.14712467789649963,0.05573500692844391,0.027211280539631844,0.07612159103155136,0.0013124370016157627,296.5028991699219,292.9896545410156,2016/07/18
144,0.1248895525932312,0.09964968264102936,0.07221504300832748,0.05989600345492363,0.10301263630390167,0.11090673506259918,0.06265716999769211,0.07030346989631653,0.0010973784374073148,282.5816955566406,281.90557861328125,2019/02/01
145,0.12374275922775269,0.09732869267463684,0.06928813457489014,0.05273054912686348,0.13818591833114624,0.06834477931261063,0.03496936336159706,0.06187137961387634,0.0007156456704251468,283.8848571777344,282.65069580078125,2014/11/02
146,0.12749254703521729,0.10493017733097076,0.0846630185842514,0.06567338854074478,0.12589024007320404,0.09650718420743942,0.05265996605157852,0.0756770446896553,0.0008661135798320174,296.04327392578125,293.3744201660156,2014/05/26
147,0.11861914396286011,0.09642904251813889,0.07615027576684952,0.061185941100120544,0.09801404923200607,0.07873756438493729,0.04083724319934845,0.07069598138332367,0.0010722061851993203,294.65826416015625,291.4918518066406,2019/08/28
148,0.12834689021110535,0.103305883705616,0.07742079347372055,0.0582883358001709,0.12396237254142761,0.0467056967318058,0.023235613480210304,0.07188738882541656,0.0007502877269871533,296.5004577636719,293.18939208984375,2014/08/30
149,0.154596209526062,0.13177058100700378,0.10570847243070602,0.08833373337984085,0.11410382390022278,0.08229881525039673,0.06336668133735657,0.09848116338253021,0.0046235243789851665,289.6644592285156,284.2575988769531,2013/09/12
150,0.12616561353206635,0.10226031392812729,0.08162844181060791,0.058944907039403915,0.12074831128120422,0.05783839151263237,0.02480434626340866,0.07240749150514603,0.0015675565227866173,293.7666931152344,289.73309326171875,2016/08/19
151,0.12848584353923798,0.10657438635826111,0.08762392401695251,0.07268728315830231,0.13274092972278595,0.06612919270992279,0.03890984505414963,0.07762229442596436,0.0013598663499578834,297.50762939453125,294.41314697265625,2017/07/21
152,0.12516237795352936,0.1028607115149498,0.08068908751010895,0.06189848110079765,0.13370159268379211,0.05769389122724533,0.029323752969503403,0.0736236497759819,0.0007368823862634599,297.18170166015625,293.9969177246094,2016/07/02
153,0.1864486187696457,0.1632639318704605,0.13073252141475677,0.11383561789989471,0.1481878161430359,0.08181404322385788,0.05858079344034195,0.12641119956970215,0.030637776479125023,280.0030822753906,277.7500305175781,2017/09/07
154,0.14249259233474731,0.1208249032497406,0.09989171475172043,0.08146445453166962,0.1639658510684967,0.08397039026021957,0.046424586325883865,0.09146659076213837,0.0015121973119676113,297.26806640625,294.48193359375,2015/06/30
155,0.14619937539100647,0.1273321658372879,0.11126487702131271,0.09295764565467834,0.18847830593585968,0.10532041639089584,0.059595413506031036,0.09881596267223358,0.003919896669685841,294.42987060546875,291.1543884277344,2014/06/11
156,0.24601715803146362,0.22873878479003906,0.2030693143606186,0.1936427801847458,0.24491703510284424,0.22151251137256622,0.19735299050807953,0.20557154715061188,0.0010785452323034406,291.0386962890625,288.196533203125,2020/06/27
157,0.19037914276123047,0.17234346270561218,0.14972242712974548,0.13555152714252472,0.1750728338956833,0.15046481788158417,0.12513624131679535,0.14616332948207855,0.0015502788592129946,293.0274658203125,289.78955078125,2015/07/16
158,0.11689496785402298,0.09421122819185257,0.074189692735672,0.058414481580257416,0.09790751338005066,0.08538854867219925,0.0461595393717289,0.06778720021247864,0.000660046236589551,295.4186706542969,293.38018798828125,2019/05/08
